userId,createdtime,attemptedCallsCount,completedCallsCount
83443,2025-12-02,1,0
83443,2025-12-08,1,1
83674,2025-11-26,1,0
83674,2025-12-03,1,1
83674,2025-12-10,1,0
83674,2025-12-16,2,0
84288,2025-12-09,1,1
84288,2025-12-12,2,1
84288,2025-12-15,1,1
84635,2025-11-24,1,0
84635,2025-11-25,1,1
84635,2025-12-03,1,1
84635,2025-12-12,1,0
84635,2025-12-16,2,1
167486,2025-11-24,1,1
167486,2025-11-29,2,1
167486,2025-12-09,1,0
167486,2025-12-17,1,0
167682,2025-11-29,1,0
167682,2025-12-04,2,0
167682,2025-12-05,1,1
167682,2025-12-16,1,0
167682,2025-12-17,1,0
209207,2025-11-24,2,0
209207,2025-11-27,1,0
209207,2025-12-01,1,0
835846,2025-12-15,1,1
4797679,2025-11-24,1,1
4797679,2025-12-03,1,1
4797679,2025-12-09,1,1
5039865,2025-12-02,2,1
5039865,2025-12-12,1,0
5039865,2025-12-17,2,0
6165857,2025-11-24,4,1
6165857,2025-12-04,1,0
6165857,2025-12-10,2,0
6165857,2025-12-11,1,0
6165857,2025-12-13,4,1
6165857,2025-12-15,1,1
6166080,2025-11-24,1,0
6166080,2025-11-25,1,0
6166080,2025-11-26,1,0
6166080,2025-11-28,1,0
6166080,2025-12-01,1,1
6166080,2025-12-08,2,1
6166080,2025-12-09,2,1
6166080,2025-12-15,1,0
6166080,2025-12-16,3,0
6166162,2025-12-01,1,1
6166162,2025-12-08,3,1
6166162,2025-12-15,1,1
6166166,2025-11-24,2,0
6166166,2025-11-28,2,0
6166166,2025-12-01,1,1
6166166,2025-12-09,3,1
6166227,2025-11-27,1,0
6166227,2025-11-28,3,1
6166227,2025-12-05,1,0
6166227,2025-12-15,1,0
6166227,2025-12-16,1,1
6166274,2025-11-24,3,1
6166274,2025-11-29,2,0
6166274,2025-12-02,2,0
6166274,2025-12-04,1,1
6166274,2025-12-05,2,0
6166274,2025-12-08,2,0
6166274,2025-12-17,1,1
6166305,2025-11-29,4,0
6166305,2025-12-01,3,1
6166305,2025-12-09,1,1
6166306,2025-11-26,2,0
6166306,2025-12-11,1,0
6166306,2025-12-12,2,0
6166306,2025-12-16,1,1
6166310,2025-12-05,8,1
6166310,2025-12-09,1,0
6166483,2025-11-24,3,0
6166483,2025-11-28,1,0
6166483,2025-12-01,1,1
6166483,2025-12-03,1,0
6166483,2025-12-09,1,0
6166483,2025-12-12,2,0
