userId,logDate,waterLogCount,waterIntakeInML
83443,2025-11-24,5,3500
83443,2025-11-25,5,3800
83443,2025-11-26,6,3800
83443,2025-11-27,6,3800
83443,2025-11-28,5,3500
83443,2025-11-29,4,3500
83443,2025-11-30,4,3600
83443,2025-12-01,4,3500
83443,2025-12-02,4,3500
83443,2025-12-03,4,3500
83443,2025-12-04,5,3500
83443,2025-12-05,4,3500
83443,2025-12-06,5,4000
83443,2025-12-07,4,4000
83443,2025-12-08,4,3800
83443,2025-12-09,5,3800
83443,2025-12-10,4,4000
83443,2025-12-11,4,3800
83443,2025-12-12,5,3500
83443,2025-12-13,4,3500
83443,2025-12-14,4,4000
83443,2025-12-15,4,4000
83443,2025-12-16,5,3800
83443,2025-12-17,4,4000
83674,2025-11-24,4,1100
83674,2025-11-25,10,2000
83674,2025-11-26,10,2000
83674,2025-11-27,7,1400
83674,2025-11-28,10,2000
83674,2025-11-29,8,1600
83674,2025-11-30,10,2000
83674,2025-12-01,11,2200
83674,2025-12-02,10,2000
83674,2025-12-03,10,2000
83674,2025-12-04,11,2200
83674,2025-12-05,11,2200
83674,2025-12-06,6,2100
83674,2025-12-07,9,2100
83674,2025-12-08,6,2300
83674,2025-12-09,7,2000
83674,2025-12-10,10,2000
83674,2025-12-11,5,2100
83674,2025-12-12,10,2300
83674,2025-12-13,6,2000
83674,2025-12-14,8,2200
83674,2025-12-15,10,2300
83674,2025-12-16,12,2400
83674,2025-12-17,9,1800
84288,2025-11-24,5,1000
84288,2025-11-25,9,1800
84288,2025-11-26,8,1600
84288,2025-11-27,12,2400
84288,2025-11-28,6,1200
84288,2025-11-29,8,1600
84288,2025-11-30,8,1600
84288,2025-12-01,9,1800
84288,2025-12-02,10,2000
84288,2025-12-03,11,2200
84288,2025-12-04,9,1800
84288,2025-12-05,10,2000
84288,2025-12-06,9,1800
84288,2025-12-07,10,2000
84288,2025-12-08,11,2200
84288,2025-12-09,11,2200
84288,2025-12-10,10,2000
84288,2025-12-11,11,2200
84288,2025-12-12,10,2000
84288,2025-12-13,9,1800
84288,2025-12-14,11,2200
84288,2025-12-15,9,1800
84288,2025-12-16,11,2200
84288,2025-12-17,10,2000
84635,2025-11-24,2,2000
84635,2025-11-25,2,2000
84635,2025-11-26,5,2100
84635,2025-11-27,3,2500
84635,2025-11-28,4,1700
84635,2025-11-29,5,2150
84635,2025-11-30,3,2000
84635,2025-12-01,4,2000
84635,2025-12-02,4,2200
84635,2025-12-03,4,2500
84635,2025-12-04,5,2100
84635,2025-12-05,4,2250
84635,2025-12-06,7,2500
84635,2025-12-07,4,2500
84635,2025-12-08,5,2400
84635,2025-12-09,7,2600
84635,2025-12-10,4,2450
84635,2025-12-11,4,2250
84635,2025-12-12,5,2750
84635,2025-12-13,7,2600
84635,2025-12-14,3,2500
84635,2025-12-15,5,2700
84635,2025-12-16,5,3000
84635,2025-12-17,5,2650
167486,2025-11-26,1,3000
167486,2025-11-27,1,3000
167486,2025-11-28,1,3000
167486,2025-11-29,1,3000
167486,2025-11-30,1,3000
167486,2025-12-01,1,3000
167486,2025-12-02,1,3000
167486,2025-12-03,1,3000
167486,2025-12-04,1,3000
167486,2025-12-05,1,3000
167486,2025-12-06,1,3000
167486,2025-12-07,1,3000
167486,2025-12-09,1,3000
167486,2025-12-10,2,6000
167486,2025-12-11,1,3000
167486,2025-12-12,1,3000
167486,2025-12-13,1,3000
167486,2025-12-14,1,3000
167486,2025-12-16,1,3000
167486,2025-12-17,1,3000
167682,2025-11-24,1,2400
167682,2025-11-25,1,2700
167682,2025-11-26,1,2000
167682,2025-11-27,2,2100
167682,2025-11-28,2,3100
167682,2025-11-29,3,3000
167682,2025-11-30,2,2300
167682,2025-12-01,1,2300
167682,2025-12-02,1,2000
167682,2025-12-03,1,2000
167682,2025-12-04,1,2000
167682,2025-12-05,1,2300
167682,2025-12-06,1,2500
167682,2025-12-07,1,2300
167682,2025-12-08,1,2000
167682,2025-12-09,1,2100
167682,2025-12-10,1,2400
167682,2025-12-11,1,2100
167682,2025-12-12,1,2500
167682,2025-12-13,1,2500
167682,2025-12-14,1,2500
167682,2025-12-15,1,2500
167682,2025-12-16,1,3000
167682,2025-12-17,1,3000
209207,2025-11-24,3,3000
209207,2025-11-25,2,2000
209207,2025-11-26,3,3000
209207,2025-12-08,1,2400
209207,2025-12-09,1,2500
209207,2025-12-10,1,1000
209207,2025-12-11,1,2000
209207,2025-12-12,1,2000
209207,2025-12-13,1,2500
209207,2025-12-14,1,2100
209207,2025-12-15,1,2500
209207,2025-12-17,1,2100
835846,2025-11-24,4,4000
835846,2025-11-25,4,4000
835846,2025-11-26,5,5000
835846,2025-11-27,5,5000
835846,2025-11-28,3,3000
835846,2025-11-29,5,5000
835846,2025-11-30,5,5000
835846,2025-12-01,5,5000
835846,2025-12-02,5,5000
835846,2025-12-03,4,4000
835846,2025-12-04,5,5000
835846,2025-12-05,4,4000
835846,2025-12-06,3,3000
835846,2025-12-07,5,5000
835846,2025-12-08,4,4000
835846,2025-12-09,5,5000
835846,2025-12-10,5,5000
835846,2025-12-11,5,5000
835846,2025-12-12,5,5000
835846,2025-12-13,5,5000
835846,2025-12-14,4,4000
835846,2025-12-15,5,5000
835846,2025-12-16,5,5000
835846,2025-12-17,5,5000
4797679,2025-11-24,3,6000
4797679,2025-11-25,2,2400
4797679,2025-11-26,3,4100
4797679,2025-11-27,3,4600
4797679,2025-11-28,2,4200
4797679,2025-11-29,1,2300
4797679,2025-11-30,3,4500
4797679,2025-12-01,2,3300
4797679,2025-12-02,2,3100
4797679,2025-12-03,2,3600
4797679,2025-12-04,2,3200
4797679,2025-12-05,3,4800
4797679,2025-12-06,3,5800
4797679,2025-12-07,1,2100
4797679,2025-12-08,1,2300
4797679,2025-12-09,6,9600
4797679,2025-12-10,2,3100
4797679,2025-12-11,1,1500
4797679,2025-12-12,2,4200
4797679,2025-12-13,2,4400
4797679,2025-12-14,1,2200
4797679,2025-12-15,1,2200
4797679,2025-12-16,2,3300
4797679,2025-12-17,1,2300
5039865,2025-11-25,1,4000
5039865,2025-12-01,4,2450
5039865,2025-12-03,2,1500
5039865,2025-12-07,9,13250
5039865,2025-12-08,6,4500
5039865,2025-12-09,4,2450
5039865,2025-12-10,5,3750
5039865,2025-12-12,4,2500
5039865,2025-12-13,5,3500
5039865,2025-12-15,7,4700
5039865,2025-12-16,3,2250
6165857,2025-11-24,2,4000
6165857,2025-11-25,2,6000
6165857,2025-11-26,1,3000
6165857,2025-11-27,1,3000
6165857,2025-11-28,1,3000
6165857,2025-11-29,2,6000
6165857,2025-11-30,1,3000
6165857,2025-12-01,1,3000
6165857,2025-12-02,1,3000
6165857,2025-12-03,1,3000
6165857,2025-12-04,1,3000
6165857,2025-12-05,2,6000
6165857,2025-12-06,1,3000
6165857,2025-12-07,1,3000
6165857,2025-12-08,1,3000
6165857,2025-12-09,1,3000
6165857,2025-12-10,1,3000
6165857,2025-12-11,2,6000
6165857,2025-12-12,1,3000
6165857,2025-12-13,1,3000
6165857,2025-12-14,1,3000
6165857,2025-12-15,1,3000
6165857,2025-12-16,1,3000
6165857,2025-12-17,2,6000
6166080,2025-11-26,1,750
6166080,2025-11-28,6,2100
6166080,2025-11-29,2,1000
6166080,2025-11-30,4,1900
6166080,2025-12-01,4,1400
6166080,2025-12-02,4,1400
6166080,2025-12-03,4,1950
6166080,2025-12-04,7,2000
6166080,2025-12-05,5,1600
6166080,2025-12-06,2,2000
6166080,2025-12-07,3,2000
6166080,2025-12-08,4,1950
6166080,2025-12-09,4,2000
6166080,2025-12-10,3,1750
6166080,2025-12-11,5,2100
6166080,2025-12-12,5,1900
6166080,2025-12-13,4,2000
6166080,2025-12-14,3,2000
6166080,2025-12-15,5,2150
6166080,2025-12-16,4,2250
6166080,2025-12-17,5,2150
6166162,2025-11-25,3,2500
6166162,2025-11-26,2,1800
6166162,2025-11-28,3,1200
6166162,2025-11-29,3,2500
6166162,2025-12-01,3,2000
6166162,2025-12-02,3,2100
6166162,2025-12-03,4,3000
6166162,2025-12-04,3,2800
6166162,2025-12-05,2,2000
6166162,2025-12-06,3,2000
6166162,2025-12-07,4,2800
6166162,2025-12-08,3,2300
6166162,2025-12-09,3,2000
6166162,2025-12-10,4,2000
6166162,2025-12-11,3,2300
6166162,2025-12-12,3,2100
6166162,2025-12-13,4,2000
6166162,2025-12-14,4,2300
6166162,2025-12-15,6,2100
6166162,2025-12-16,4,2000
6166162,2025-12-17,4,2000
6166166,2025-11-25,3,1500
6166166,2025-11-26,3,1500
6166166,2025-11-27,4,2000
6166166,2025-11-28,4,2000
6166166,2025-11-29,4,2000
6166166,2025-11-30,3,1700
6166166,2025-12-01,6,3000
6166166,2025-12-02,7,3500
6166166,2025-12-03,3,2100
6166166,2025-12-04,4,2900
6166166,2025-12-05,4,1700
6166166,2025-12-06,5,2500
6166166,2025-12-07,5,2500
6166166,2025-12-08,5,2200
6166166,2025-12-09,5,2200
6166166,2025-12-10,5,1900
6166166,2025-12-11,4,2000
6166166,2025-12-12,4,2000
6166166,2025-12-13,5,2500
6166166,2025-12-14,4,2300
6166166,2025-12-15,3,1800
6166166,2025-12-16,4,1400
6166166,2025-12-17,4,2000
6166227,2025-11-25,1,500
6166227,2025-11-26,3,2750
6166227,2025-11-27,4,1350
6166227,2025-11-28,8,1900
6166227,2025-11-29,10,2300
6166227,2025-11-30,11,2200
6166227,2025-12-01,7,2000
6166227,2025-12-02,9,2100
6166227,2025-12-03,10,2300
6166227,2025-12-04,9,2100
6166227,2025-12-05,4,800
6166227,2025-12-06,9,2100
6166227,2025-12-07,10,2000
6166227,2025-12-08,9,2100
6166227,2025-12-09,7,2000
6166227,2025-12-10,10,2000
6166227,2025-12-11,10,2000
6166227,2025-12-12,11,2200
6166227,2025-12-13,10,2000
6166227,2025-12-14,10,2000
6166227,2025-12-15,10,2000
6166227,2025-12-16,9,1800
6166227,2025-12-17,12,3300
6166274,2025-11-25,1,800
6166274,2025-11-29,1,1000
6166274,2025-11-30,1,1300
6166274,2025-12-01,1,2900
6166274,2025-12-02,1,1400
6166274,2025-12-08,1,1400
6166274,2025-12-09,2,6000
6166274,2025-12-13,1,3000
6166274,2025-12-14,1,3000
6166274,2025-12-15,1,800
6166274,2025-12-17,1,1900
6166305,2025-11-24,5,2700
6166305,2025-11-25,6,2400
6166305,2025-11-26,8,1900
6166305,2025-11-27,9,2700
6166305,2025-11-28,8,2500
6166305,2025-11-29,7,2900
6166305,2025-11-30,5,2200
6166305,2025-12-01,8,2500
6166305,2025-12-02,5,2200
6166305,2025-12-03,7,2300
6166305,2025-12-04,5,2200
6166305,2025-12-05,5,2200
6166305,2025-12-06,5,2200
6166305,2025-12-07,6,2100
6166305,2025-12-08,5,2200
6166305,2025-12-09,5,1900
6166305,2025-12-10,7,2600
6166305,2025-12-11,7,2300
6166305,2025-12-12,6,2100
6166305,2025-12-13,6,2400
6166305,2025-12-14,5,2200
6166305,2025-12-15,6,2700
6166305,2025-12-16,6,2100
6166305,2025-12-17,8,2200
6166306,2025-11-24,6,1200
6166306,2025-11-25,5,1000
6166306,2025-11-26,4,800
6166306,2025-11-27,10,2000
6166306,2025-11-28,5,1000
6166306,2025-11-29,4,1100
6166306,2025-11-30,1,500
6166306,2025-12-01,1,500
6166306,2025-12-02,1,1000
6166306,2025-12-03,3,1500
6166306,2025-12-04,2,2000
6166306,2025-12-05,2,1500
6166306,2025-12-06,4,2000
6166306,2025-12-07,2,2000
6166306,2025-12-08,3,2200
6166306,2025-12-09,4,2200
6166306,2025-12-10,4,2150
6166306,2025-12-11,4,2500
6166306,2025-12-12,3,2000
6166306,2025-12-13,3,2000
6166306,2025-12-14,3,2000
6166306,2025-12-15,2,2000
6166306,2025-12-16,3,2000
6166306,2025-12-17,2,2000
6166310,2025-11-24,2,2900
6166310,2025-11-25,2,3300
6166310,2025-11-26,2,2200
6166310,2025-11-27,4,2800
6166310,2025-11-28,1,2500
6166310,2025-11-29,4,2900
6166310,2025-11-30,2,3300
6166310,2025-12-01,5,2400
6166310,2025-12-02,2,2500
6166310,2025-12-03,3,2300
6166310,2025-12-04,4,2900
6166310,2025-12-05,3,2300
6166310,2025-12-06,2,2600
6166310,2025-12-07,1,2200
6166310,2025-12-08,2,2500
6166310,2025-12-09,1,2600
6166310,2025-12-10,1,2500
6166310,2025-12-11,2,3500
6166310,2025-12-12,1,500
6166310,2025-12-13,2,2700
6166310,2025-12-14,2,3100
6166310,2025-12-15,2,2200
6166310,2025-12-16,2,5000
6166310,2025-12-17,2,2200
6166483,2025-11-24,3,2800
6166483,2025-11-25,2,1800
6166483,2025-11-26,1,1000
6166483,2025-11-27,3,2000
6166483,2025-11-28,3,2300
6166483,2025-11-29,3,2000
6166483,2025-11-30,2,1500
6166483,2025-12-01,3,2000
6166483,2025-12-02,2,1500
6166483,2025-12-03,2,1200
6166483,2025-12-04,3,2000
6166483,2025-12-05,2,1500
6166483,2025-12-06,3,2000
6166483,2025-12-07,2,1500
6166483,2025-12-08,3,2000
6166483,2025-12-09,3,1500
6166483,2025-12-10,3,2000
6166483,2025-12-11,3,2000
6166483,2025-12-12,4,3000
6166483,2025-12-13,3,2000
6166483,2025-12-14,3,2300
6166483,2025-12-15,3,2000
6166483,2025-12-16,2,2000
